
Predictions were generated on 18-Feb-2025 at 21:38:06 using FAST.Farm, compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library

Description from the FAST.Farm input file: FAST.Farm              input       - file, using two turbines separated by 3D downstream and an offset of 30m, turbulent inflow, yaw maneuver for WT1

Time                	RtVAmbT1            	YawErrT1            	RtSkewT1            	AziSkewT1           	RtSkewFiltT1        	AziSkewFiltT1       	RtGamCurlT1         	RtVAmbFiltT1        	RtCtAvgT1           	WkAxsXT1D1          	WkAxsYT1D1          	WkAxsZT1D1          	WkPosXT1D1          	WkPosYT1D1          	WkPosZT1D1          
(s)                 	(m/s)        	(deg)        	(deg)        	(deg)        	(deg)        	(deg)        	INVALID      	(m/s)        	(-)          	(-)          	(-)          	(-)          	(m)          	(m)          	(m)          
  198.0000	 6.827E+00	-2.772E+01	 2.842E+01	-1.219E+01	 2.961E+01	-1.394E+01	 0.000E+00	 6.798E+00	 0.000E+00	 8.699E-01	 4.743E-01	-1.353E-01	 8.176E+01	-6.244E+00	 9.256E+01
  200.7500	 6.811E+00	-2.783E+01	 2.852E+01	-1.217E+01	 2.926E+01	-1.343E+01	 0.000E+00	 6.807E+00	 0.000E+00	 8.703E-01	 4.737E-01	-1.350E-01	 8.184E+01	-6.335E+00	 9.262E+01
  203.5000	 6.813E+00	-2.786E+01	 2.901E+01	-1.557E+01	 2.905E+01	-1.306E+01	 0.000E+00	 6.808E+00	 0.000E+00	 8.706E-01	 4.732E-01	-1.347E-01	 8.172E+01	-5.953E+00	 9.267E+01
  206.2500	 6.800E+00	-2.800E+01	 2.899E+01	-1.439E+01	 2.903E+01	-1.379E+01	 0.000E+00	 6.809E+00	 0.000E+00	 8.709E-01	 4.727E-01	-1.347E-01	 8.178E+01	-5.876E+00	 9.243E+01
  209.0000	 6.804E+00	-2.811E+01	 2.932E+01	-1.582E+01	 2.902E+01	-1.397E+01	 0.000E+00	 6.806E+00	 0.000E+00	 8.711E-01	 4.722E-01	-1.347E-01	 8.192E+01	-5.855E+00	 9.242E+01
  211.7500	 6.811E+00	-2.912E+01	 3.012E+01	-1.417E+01	 2.911E+01	-1.451E+01	 0.000E+00	 6.806E+00	 0.000E+00	 8.713E-01	 4.719E-01	-1.344E-01	 8.210E+01	-5.978E+00	 9.231E+01
  214.5000	 6.789E+00	-2.840E+01	 2.927E+01	-1.338E+01	 2.940E+01	-1.441E+01	 0.000E+00	 6.807E+00	 0.000E+00	 8.715E-01	 4.718E-01	-1.341E-01	 8.239E+01	-6.271E+00	 9.249E+01
  217.2500	 6.824E+00	-2.863E+01	 2.934E+01	-1.213E+01	 2.936E+01	-1.411E+01	 0.000E+00	 6.802E+00	 0.000E+00	 8.715E-01	 4.718E-01	-1.340E-01	 8.249E+01	-6.274E+00	 9.252E+01
  220.0000	 6.778E+00	-2.902E+01	 2.990E+01	-1.331E+01	 2.936E+01	-1.353E+01	 0.000E+00	 6.808E+00	 0.000E+00	 8.714E-01	 4.719E-01	-1.342E-01	 8.278E+01	-6.556E+00	 9.264E+01
  222.7500	 6.819E+00	-2.826E+01	 2.917E+01	-1.378E+01	 2.952E+01	-1.346E+01	 0.000E+00	 6.799E+00	 0.000E+00	 8.712E-01	 4.722E-01	-1.345E-01	 8.294E+01	-6.549E+00	 9.255E+01
  225.5000	 6.790E+00	-2.867E+01	 2.981E+01	-1.521E+01	 2.942E+01	-1.356E+01	 0.000E+00	 6.805E+00	 0.000E+00	 8.711E-01	 4.725E-01	-1.340E-01	 8.316E+01	-6.777E+00	 9.244E+01
  228.2500	 6.814E+00	-2.794E+01	 2.898E+01	-1.475E+01	 2.953E+01	-1.404E+01	 0.000E+00	 6.801E+00	 0.000E+00	 8.709E-01	 4.729E-01	-1.338E-01	 8.331E+01	-6.811E+00	 9.244E+01
  231.0000	 6.793E+00	-2.801E+01	 2.888E+01	-1.350E+01	 2.937E+01	-1.425E+01	 0.000E+00	 6.805E+00	 0.000E+00	 8.706E-01	 4.733E-01	-1.342E-01	 8.353E+01	-7.119E+00	 9.242E+01
  233.7500	 6.793E+00	-2.902E+01	 2.992E+01	-1.348E+01	 2.923E+01	-1.403E+01	 0.000E+00	 6.801E+00	 0.000E+00	 8.703E-01	 4.738E-01	-1.345E-01	 8.353E+01	-7.112E+00	 9.254E+01
  236.5000	 6.790E+00	-2.882E+01	 2.957E+01	-1.240E+01	 2.943E+01	-1.387E+01	 0.000E+00	 6.799E+00	 0.000E+00	 8.701E-01	 4.742E-01	-1.347E-01	 8.361E+01	-7.262E+00	 9.250E+01
  239.2500	 6.782E+00	-2.915E+01	 3.013E+01	-1.400E+01	 2.947E+01	-1.344E+01	 0.000E+00	 6.796E+00	 0.000E+00	 8.698E-01	 4.746E-01	-1.350E-01	 8.370E+01	-7.348E+00	 9.256E+01
  242.0000	 6.801E+00	-2.997E+01	 3.106E+01	-1.450E+01	 2.966E+01	-1.360E+01	 0.000E+00	 6.792E+00	 0.000E+00	 8.697E-01	 4.749E-01	-1.348E-01	 8.380E+01	-7.569E+00	 9.247E+01
  244.7500	 6.770E+00	-2.884E+01	 2.978E+01	-1.379E+01	 3.007E+01	-1.386E+01	 0.000E+00	 6.795E+00	 0.000E+00	 8.696E-01	 4.752E-01	-1.343E-01	 8.397E+01	-7.989E+00	 9.255E+01
  247.5000	 6.820E+00	-2.877E+01	 2.978E+01	-1.429E+01	 2.999E+01	-1.384E+01	 0.000E+00	 6.787E+00	 0.000E+00	 8.694E-01	 4.754E-01	-1.345E-01	 8.381E+01	-7.955E+00	 9.245E+01
  250.2500	 6.782E+00	-2.963E+01	 3.067E+01	-1.426E+01	 2.993E+01	-1.397E+01	 0.000E+00	 6.797E+00	 0.000E+00	 8.693E-01	 4.755E-01	-1.352E-01	 8.379E+01	-8.174E+00	 9.250E+01
  253.0000	 6.820E+00	-2.805E+01	 2.901E+01	-1.418E+01	 3.014E+01	-1.406E+01	 0.000E+00	 6.793E+00	 0.000E+00	 8.693E-01	 4.754E-01	-1.353E-01	 8.359E+01	-8.105E+00	 9.256E+01
  255.7500	 6.805E+00	-2.849E+01	 2.931E+01	-1.302E+01	 2.981E+01	-1.409E+01	 0.000E+00	 6.801E+00	 0.000E+00	 8.694E-01	 4.752E-01	-1.353E-01	 8.350E+01	-8.188E+00	 9.255E+01
  258.5000	 6.803E+00	-2.912E+01	 3.001E+01	-1.335E+01	 2.967E+01	-1.378E+01	 0.000E+00	 6.802E+00	 0.000E+00	 8.695E-01	 4.749E-01	-1.358E-01	 8.339E+01	-8.122E+00	 9.263E+01
  261.2500	 6.796E+00	-2.878E+01	 2.953E+01	-1.240E+01	 2.977E+01	-1.365E+01	 0.000E+00	 6.802E+00	 0.000E+00	 8.697E-01	 4.745E-01	-1.361E-01	 8.324E+01	-8.193E+00	 9.254E+01
  264.0000	 6.800E+00	-2.928E+01	 3.029E+01	-1.411E+01	 2.970E+01	-1.329E+01	 0.000E+00	 6.800E+00	 0.000E+00	 8.699E-01	 4.740E-01	-1.361E-01	 8.299E+01	-8.116E+00	 9.258E+01
  266.7500	 6.818E+00	-2.898E+01	 3.002E+01	-1.439E+01	 2.987E+01	-1.353E+01	 0.000E+00	 6.800E+00	 0.000E+00	 8.702E-01	 4.735E-01	-1.360E-01	 8.276E+01	-8.113E+00	 9.246E+01
